operation,avg_time_ms,stddev_ms,num_records,query
<<<<<<< Updated upstream
Select all users,0.18129348754882812,0.04913349375553619,5,<function main.<locals>.<lambda> at 0x109530220>
Select all products in category,0.1415729522705078,0.010060868549257605,5,<function main.<locals>.<lambda> at 0x1095304a0>
Select all orders for user,0.1384735107421875,0.004464861363411564,5,<function main.<locals>.<lambda> at 0x109530540>
Top 10 best-selling products,14.964056015014648,2.411506633662734,5,<function main.<locals>.<lambda> at 0x1095305e0>
Average rating per product,13.11044692993164,0.22132676773205912,5,<function main.<locals>.<lambda> at 0x109530680>
=======
Select all users,0.15506744384765625,0.024945579955072673,5,<function main.<locals>.<lambda> at 0x1071c0220>
Select all products in category,0.2463817596435547,0.2606397969699121,5,<function main.<locals>.<lambda> at 0x1071c04a0>
Select all orders for user,0.14142990112304688,0.007719020122392411,5,<function main.<locals>.<lambda> at 0x1071c0540>
Top 10 best-selling products,14.890193939208984,2.656698494382008,5,<function main.<locals>.<lambda> at 0x1071c05e0>
Average rating per product,12.442779541015625,0.3364512523312669,5,<function main.<locals>.<lambda> at 0x1071c0680>
>>>>>>> Stashed changes
